Aarsd1	Ubc
Aatf	Bloc1s2
Aatf	Dapk3
Aatf	Mapt
Aatf	Mns1
Aatf	Pmf1
Aatf	Tsg101
Abca2	Ubc
Abca3	Ubc
Abcb11	Ap2a1
Abcc2	Slc9a3r1
Abi2	Caskin1
Abl1	Agtr1a
Abl1	Grb2
Abl1	Sorbs3
Abl1	Wasf1
Abl2	Sorbs3
Acly	Park7
Acly	Snca
Aco1	Ubc
Aco2	Sumo3
Acp6	Ubc
Acsbg1	Mib1
Acsbg1	Ubc
Acta1	Cnn1
Acta1	Gja1
Akt1	Smad3
Akt1	Uxs1
Alad	Ubc
Aldh3b1	Ubc
Aldoa	Gja1
Aldoa	Ubc
Aldoart2	Rad23b
Aldoart2	Sumo3
Aldoc	Rad23b
Aldoc	Snca
Aldoc	Ubc
Ambra1	Park2
Amph	Ap2a1
Amph	Ap2a2
Amph	Ap2b1
Amph	Bin1
Amph	Clta
Amph	Cltc
Amph	Dao
Amph	Dnm1
Amph	Epn1
Amph	Fabp4
Amph	Necap1
Amph	Necap2
Amph	Synj1
Amph	Synm
Amph	Ubc
Anapc4	Ubc
Anapc7	Mib1
Ank1	Dao
Ank2	Atp1a1
Ank2	Atp1a2
Ank2	Atp1a3
Ank2	Dao
Ank2	Itpr1
Ank2	Nfasc
Blmh	Mib1
Bmpr1a	Ubc
Braf	Hras
Braf	Hspa4
Braf	Mdk
Braf	Ntrk1
Braf	Psme1
Braf	Psme3
Braf	Rgs12
Braf	Ywhab
Brcc3	Mib1
Brdt	Smarce1
Brdt	Top1
Brf1	Ephb1
Brf1	Myc
Brf1	Rb1
Brk1	Ubc
Bsn	Dao
Bsn	Ubc
Btrc	Sipa1l1
C1qb	Mib1
C1qbp	Dao
C1qbp	Mib1
C1qc	Mib1
C2	C3
C2	C6
C2	C7
C2	C9
C2	Psma5
C2	Psma6
C2	Psmb6
C2	Psmc1
C2	Psmc2
C2	Psmc3
C2	Psmc4
C2	Psmd14
C2	Psmd3
C2	Psmd7
C2	S8
Cacna1b	Ubc
Cacna1b	Ube2l3
Cacna1c	Derl1
Cacna1c	Trim13
Cacna1c	Ubc
Cacna1c	Vcp
Cacna1g	Ranbp9
Cacna2d1	Dao
Cacna2d1	Slc8a1
Cacna2d1	Sptbn1
Cacna2d2	Dao
Cacng8	Mib1
Cadm3	Ubc
Calcr	Calm1
Calm1	Camk1
Calm1	Camk2a
Calm1	Camk2b
Calm1	Camk2g
Calm1	Camk4
Calm1	Gapdh
Calm1	Nrgn
Calm1	Pde1a
Calm1	Pde1b
Calm1	Pfkm
Calm1	Phkg2
Calm1	Ssb
Calm1	Syn1
Calm1	Syn2
Calm1	Tsc1
Ctnnd2	Gsk3b
Ctnnd2	Ubc
Ctsd	Ntrk1
Ctsl	Gja1
Cttn	Kcna2
Cul1	
Hspa1a	Stub1
Hspa4	Nr3c1
Hspa4	Pex5
Hspa4	Rad23b
Hspa4	Snca
Hspa4	Sumo3
Hspa4	Tp53
Hspa4	Ubc
Hspa4l	Ubc
Hspa5	Hyou1
Hspa5	Mvk
Hspa5	Pdia4
Hspa5	Tg
Hspa5	Thbs1
Hspa8	Katna1
Hspa8	Snca
Hspa8	Sumo3
Hspa8	Ubc
Hspa9	Park7
Hspa9	Snca
Hspb1	Hspbap1
Hspb1	Mapkapk5
Hspb1	Ubc
Hspd1	Park7
Hspd1	Snca
Hsph1	Ubc
Htr2a	Ubc
Htra1	Mib1
Htra2	Mib1
Htt	Tubb5
Hunk	Nedd4
Hyou1	Pdia4
Hyou1	Tg
Hyou1	Thbs1
Id1	Psmd4Pik3cg
Pik3r1	Pttg1
Pik3r1	Thra
Pink1	Snca
Pitpna	Ubc
Rac1	Tnfrsf12a
Rac1	Tuba1a
Rac1	Tubb2b
Rac1	Ubc
Rad23a	Ubc
Rad23b	Rpn1
Rad23b	Rpn2
Rad23b	Sqstm1
Rad23b	Stat1
Rad23b	Tgm1
Rad23b	Tgm3
Rad23b	Thbs4
Rad23b	Tnnc2
Rad23b	Tnnt3
Rad23b	Tpi1
Rad23b	Tpm1
Rad23b	Tpm2
Rad23b	Ttll1
Rad23b	Ubc
Rad23b	Ube3a
Rad23b	Ubr4
Rad23b	Ubxn1
Rad23b	Uchl5
Rad23b	Ufd1l
Rad23b	Usp14
Rad23b	Usp5
Rad23b	Usp7
Rad23b	Vcp
Rad23b	Vim
Rad54l2	Sumo3
Raf1	Rfxank
Raf1	Snca
Rala	Ralbp1
Rala	Ubc
Rala	Ybx3
Ralb	Ubc
Ran	Ubc
Rangap1	Sumo3
Rangap1	Ube2i
Rap1a	Sumo3
Rara	Senp6
Rara	Sp1
Rara	Ybx1
Rars	Ubc
Rasgrf1	Ubc
Rasl2-9	Sumo3
Rassf1	Skp2
Rassf1	Ubc
Ubc	Usp34
Ubc	Usp4
Ubc	Usp5
Ubc	Usp9x
Ubc	Vamp1
Ubc	Wars
Ubc	Wasf1
Ubc	Wasf2
Ubc	Wdr1
Ubc	Xiap
Ubc	Xirp2
Ubc	Xpnpep1
Ubc	Yod1
Ubc	Ywhab
Ubc	Ywhae
Ubc	Ywhag
Ubc	Ywhah
Ubc	Ywhaq
Ubc	Ywhaz
Ubc	Zdhhc20
Ubc	Zfp280d
Ubc	Zim1
Ubc	Zwint
Ubc	rnf141
Ube2b	Ubr2
Ube4a	Vcp
Ubxn2a	Vcp
Ubxn2b	Vcp
Ufd1l	Vcp
Usp5	Vcp
Yipf3	Yipf4
