MPP1	MPP2	0.9229
GMP	CMP	0.8993
CLP	MPP1, MPP2	0.8953
CMP, GMP	CLP, MPP1, MPP2	0.8682
ABSC	TBSC	0.8672
CD8	CD4	0.8484
HSC	CLP, CMP, GMP, MPP1, MPP2	0.8242
EDif	EPro	0.8105
MEP	CLP, CMP, GMP, HSC, MPP1, MPP2	0.7925
B_cell	CD4, CD8	0.7903
Mono	Granu	0.7733
CLP, CMP, GMP, HSC, MEP, MPP1, MPP2	B_cell, CD4, CD8	0.7501
MTAC	ABSC, TBSC	0.7335
EDif, EPro	ABSC, MTAC, TBSC	0.7131
Granu, Mono	B_cell, CD4, CD8, CLP, CMP, GMP, HSC, MEP, MPP1, MPP2	0.7067
Eryth	B_cell, CD4, CD8, CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.6973
CLDC	ABSC, EDif, EPro, MTAC, TBSC	0.647
B_cell, CD4, CD8, CLP, CMP, Eryth, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	ABSC, CLDC, EDif, EPro, MTAC, TBSC	0.512
